Crop,State,Season,Soil_Type,Weather_Condition,Area,Rainfall,Temperature,Humidity,Fertilizer_Usage,Pesticide_Usage,Yield_Per_Hectare,Total_Yield
Rice,Bihar,Winter,Sandy,Rainy,1.65,2073.3,23.5,28.9,363.5,3.18,5461.61,9022.36
Barley,Rajasthan,Kharif,Silty,Dry,27.62,1174.0,32.1,63.2,379.2,0.73,3562.99,98426.25
Groundnut,Punjab,Winter,Peaty,Humid,34.15,1901.8,22.1,48.3,290.4,2.53,2829.88,96646.87
Jowar,UP,Winter,Peaty,Cloudy,19.77,224.9,42.2,26.8,193.7,4.76,1276.76,25235.68
Sugarcane,Rajasthan,Zaid,Chalky,Humid,27.91,689.3,43.4,78.6,101.1,4.66,73383.45,2048007.42
Bajra,UP,Rabi,Peaty,Dry,44.44,1007.1,18.5,30.7,392.7,3.13,2059.65,91533.54
Wheat,Maharashtra,Rabi,Loamy,Rainy,25.91,736.4,32.4,84.7,446.2,1.26,4396.82,113920.17
Groundnut,MP,Winter,Clay,Humid,19.12,392.1,38.3,61.9,240.9,4.54,2395.67,45816.9
Wheat,Gujarat,Rabi,Silty,Humid,6.32,1693.2,37.4,63.8,483.0,1.94,4466.82,28219.36
Rice,Karnataka,Kharif,Clay,Dry,40.2,2449.2,31.7,44.2,69.5,4.63,4779.98,192176.29
Maize,Rajasthan,Kharif,Silty,Rainy,11.23,877.3,44.9,72.3,222.9,3.71,3113.28,34968.54
Bajra,Maharashtra,Summer,Peaty,Humid,14.23,632.7,28.9,46.5,312.6,0.48,1816.87,25854.67
Rice,UP,Summer,Chalky,Dry,41.22,2384.5,36.8,66.0,238.2,4.67,6690.39,275748.35
Wheat,AP,Winter,Loamy,Dry,20.86,1988.5,29.4,93.9,219.5,3.77,5839.52,121795.63
Rice,Rajasthan,Kharif,Chalky,Rainy,21.03,828.8,16.7,84.9,415.8,5.0,5257.9,110592.32
Soybean,Maharashtra,Winter,Loamy,Dry,47.27,2154.2,22.4,53.8,108.1,4.77,2300.26,108723.75
Rice,Bihar,Summer,Sandy,Rainy,26.26,1976.3,30.6,83.9,298.4,2.85,6023.39,158145.42
Jowar,Haryana,Winter,Clay,Dry,40.35,2277.2,33.5,93.5,323.6,3.22,2244.08,90548.07
Wheat,Gujarat,Kharif,Silty,Sunny,45.57,885.3,30.7,72.3,408.4,2.35,4560.93,207833.96
Rice,MP,Kharif,Sandy,Humid,23.23,2454.1,29.8,44.7,335.0,1.28,5734.49,133196.16
Barley,UP,Kharif,Silty,Cloudy,26.0,2438.2,33.1,36.8,419.8,1.79,3873.03,100715.09
Bajra,Maharashtra,Winter,Chalky,Sunny,23.31,674.6,25.9,57.8,360.7,0.29,2026.99,47246.14
Barley,Punjab,Zaid,Peaty,Dry,14.21,2054.3,37.4,33.8,144.2,1.92,3363.33,47777.63
Soybean,AP,Rabi,Peaty,Humid,26.8,1857.2,16.9,31.1,109.9,3.47,2273.4,60921.71
Wheat,Rajasthan,Zaid,Sandy,Cloudy,37.0,619.3,31.9,83.1,90.1,2.72,3482.14,128844.67
Jowar,Rajasthan,Winter,Clay,Humid,34.12,2015.1,30.0,26.5,291.7,2.98,1976.4,67425.98
Maize,Karnataka,Kharif,Sandy,Dry,45.03,1597.4,22.3,57.4,198.7,4.68,4804.74,216369.55
Sugarcane,Gujarat,Winter,Peaty,Humid,44.89,384.5,30.7,50.8,492.1,0.65,87240.77,3916228.48
Cotton,Rajasthan,Kharif,Peaty,Cloudy,36.06,1430.6,29.3,82.9,142.3,4.84,2105.59,75935.23
Cotton,MP,Summer,Loamy,Sunny,12.5,464.1,33.3,41.6,311.6,0.86,1953.28,24414.62
Rice,Maharashtra,Rabi,Peaty,Rainy,3.64,2476.9,24.7,80.7,164.6,3.44,4932.52,17939.86
Rice,Punjab,Zaid,Clay,Cloudy,42.61,1915.7,27.3,90.0,495.9,1.1,6846.84,291750.8
Soybean,Rajasthan,Winter,Silty,Cloudy,37.65,2038.9,39.8,34.0,156.1,3.21,2122.43,79909.05
Cotton,Rajasthan,Winter,Clay,Rainy,34.31,1239.5,36.4,87.5,330.8,2.74,2503.76,85898.11
Rice,Gujarat,Rabi,Clay,Dry,11.84,1448.6,27.9,45.0,378.7,3.5,4618.21,54664.58
Cotton,AP,Kharif,Chalky,Humid,28.87,2494.7,37.6,73.0,400.4,0.8,2545.97,73504.55
Sugarcane,Karnataka,Rabi,Loamy,Sunny,41.15,454.5,40.4,29.6,228.8,4.01,62246.44,2561580.42
Sugarcane,Haryana,Summer,Chalky,Humid,1.1,1576.4,32.0,73.7,319.6,4.15,110052.45,121503.63
Soybean,Bihar,Zaid,Sandy,Humid,29.52,1363.5,33.3,21.4,442.5,4.67,2848.76,84090.88
Cotton,Gujarat,Winter,Silty,Dry,32.74,1973.9,26.2,25.2,84.8,0.61,1619.6,53030.15
Bajra,Punjab,Summer,Peaty,Sunny,43.56,1393.3,32.7,49.9,74.6,1.74,1581.65,68896.36
Cotton,Rajasthan,Winter,Clay,Rainy,6.16,1153.4,40.9,89.2,259.6,2.46,1843.83,11351.06
Maize,Karnataka,Kharif,Peaty,Humid,2.18,916.4,38.4,40.8,149.0,1.14,2771.32,6033.2
Rice,Punjab,Summer,Clay,Sunny,28.09,2179.5,31.1,33.8,184.8,1.62,3922.26,110163.15
Barley,Gujarat,Winter,Loamy,Sunny,29.58,876.3,36.4,59.6,290.5,2.46,2468.43,73013.66
Soybean,Gujarat,Summer,Loamy,Sunny,43.16,2376.1,26.2,40.3,339.8,2.1,3298.09,142340.31
Rice,Gujarat,Zaid,Clay,Cloudy,5.65,2039.8,20.4,69.0,157.2,0.59,5051.73,28559.3
Barley,MP,Zaid,Peaty,Humid,33.57,671.5,23.8,87.2,55.9,0.52,2580.49,86627.59
Wheat,MP,Kharif,Sandy,Dry,17.13,2097.7,25.9,22.6,423.8,1.79,4584.34,78508.41
Jowar,UP,Winter,Sandy,Humid,47.45,1956.3,19.2,85.1,269.3,4.48,2301.5,109202.51
Maize,Rajasthan,Kharif,Clay,Rainy,13.27,520.5,40.0,93.8,286.6,0.94,3298.03,43749.8
Groundnut,Maharashtra,Zaid,Chalky,Rainy,40.85,1345.6,17.0,50.4,273.9,3.63,2715.37,110909.89
Barley,Rajasthan,Summer,Sandy,Dry,24.97,1518.6,40.1,50.3,396.9,2.17,3172.31,79201.7
Wheat,UP,Zaid,Silty,Sunny,4.97,1973.3,17.0,82.8,246.7,4.59,5615.33,27917.63
Soybean,Bihar,Winter,Sandy,Sunny,2.04,803.2,32.9,23.9,273.4,3.02,2339.53,4780.98
Wheat,Maharashtra,Rabi,Clay,Rainy,17.55,1008.5,27.4,72.9,319.2,2.35,4885.0,85717.02
Rice,Rajasthan,Kharif,Chalky,Rainy,22.58,625.8,31.3,85.5,379.5,4.05,4716.38,106483.08
Groundnut,Rajasthan,Kharif,Chalky,Rainy,32.51,1794.3,16.5,70.2,69.9,2.98,2137.14,69478.39
Sugarcane,AP,Zaid,Clay,Rainy,39.87,1913.6,16.6,54.1,285.1,3.26,101482.33,4046041.81
Barley,Haryana,Summer,Loamy,Humid,44.31,1419.6,28.2,50.3,307.6,4.04,4741.35,210076.9
Wheat,Haryana,Winter,Clay,Rainy,1.71,2201.2,15.6,85.6,288.0,4.7,5861.99,10011.33
Maize,Punjab,Summer,Loamy,Dry,20.4,1303.7,33.8,85.5,492.8,3.86,4011.48,81816.36
Sugarcane,Gujarat,Kharif,Clay,Cloudy,14.72,881.5,22.0,23.2,58.0,4.94,60944.68,897003.93
Jowar,Bihar,Kharif,Clay,Humid,40.0,795.7,32.7,93.7,447.9,3.04,2079.95,83198.85
Barley,UP,Winter,Silty,Dry,25.88,730.5,20.3,36.5,133.9,3.92,2812.87,72791.76
Soybean,Rajasthan,Winter,Chalky,Sunny,46.42,2488.3,20.2,49.7,391.2,3.51,3458.08,160537.04
Soybean,Rajasthan,Winter,Chalky,Sunny,44.8,2178.3,28.7,49.3,172.8,2.44,2437.8,109210.23
Maize,Bihar,Rabi,Clay,Humid,40.57,1707.1,31.5,26.5,233.8,1.93,3811.03,154617.41
Bajra,Maharashtra,Winter,Sandy,Humid,49.58,341.5,41.5,58.7,457.9,2.9,1673.38,82962.79
Barley,Punjab,Zaid,Sandy,Dry,43.99,2034.1,34.8,83.8,440.3,3.57,4988.05,219435.23
Bajra,AP,Zaid,Silty,Humid,44.14,2411.0,29.0,85.9,52.3,4.12,2572.67,113560.14
Sugarcane,Haryana,Rabi,Peaty,Humid,41.69,1367.2,15.2,41.5,327.6,4.91,87566.45,3650701.57
Barley,AP,Zaid,Chalky,Cloudy,27.29,2414.9,25.3,67.4,469.4,0.6,5185.98,141539.24
Cotton,MP,Summer,Silty,Rainy,15.4,1828.8,17.0,63.7,205.6,3.14,1971.81,30361.33
Groundnut,Karnataka,Zaid,Chalky,Sunny,18.91,2083.2,22.6,20.1,121.5,2.4,2863.15,54129.99
Cotton,Rajasthan,Zaid,Clay,Dry,8.6,2028.1,35.8,36.6,87.1,3.43,1552.57,13351.14
Rice,Maharashtra,Summer,Peaty,Humid,45.52,2171.9,43.9,77.0,249.0,1.63,4924.73,224180.78
Bajra,UP,Rabi,Silty,Dry,2.04,1698.8,26.1,84.8,262.9,4.84,2836.44,5789.57
Sugarcane,AP,Rabi,Loamy,Humid,31.5,501.9,16.0,89.1,327.5,4.0,89141.56,2807772.36
Jowar,MP,Kharif,Peaty,Humid,21.8,661.2,29.7,24.8,311.9,1.42,1434.74,31277.47
Rice,Karnataka,Rabi,Chalky,Rainy,14.94,1798.5,40.8,78.5,67.8,2.45,4234.05,63245.3
Barley,Rajasthan,Kharif,Clay,Humid,28.76,242.2,29.5,35.8,205.7,3.9,2981.62,85750.63
Rice,Karnataka,Summer,Chalky,Rainy,16.44,2448.2,21.0,72.0,419.6,0.3,6067.75,99776.11
Rice,Karnataka,Winter,Loamy,Cloudy,29.94,1618.2,33.4,42.4,470.8,4.74,6763.79,202517.78
Groundnut,Karnataka,Summer,Loamy,Humid,40.96,1240.3,34.3,59.5,379.2,0.5,2943.04,120535.99
Soybean,Rajasthan,Summer,Silty,Dry,43.65,704.2,44.3,45.3,132.0,3.97,1657.31,72347.0
Wheat,Karnataka,Rabi,Peaty,Cloudy,16.95,1447.7,29.8,26.1,231.5,1.18,4556.83,77236.26
Soybean,Maharashtra,Summer,Clay,Sunny,36.49,1908.2,27.8,45.9,217.0,4.94,2381.02,86894.95
Sugarcane,Haryana,Summer,Sandy,Rainy,39.75,1706.5,44.8,41.3,211.6,1.98,91289.97,3628897.6
Wheat,Bihar,Kharif,Chalky,Cloudy,35.93,2290.8,20.4,37.8,487.1,0.99,5410.6,194420.75
Soybean,MP,Winter,Silty,Sunny,29.85,576.1,26.7,92.7,166.2,3.32,2427.53,72464.25
Rice,AP,Summer,Silty,Dry,22.96,742.9,17.2,32.7,283.9,1.75,3699.93,84959.89
Cotton,Rajasthan,Summer,Loamy,Sunny,8.77,585.5,16.1,75.2,348.7,2.43,2074.45,18189.95
Rice,MP,Summer,Silty,Humid,13.85,331.3,30.9,90.2,67.7,0.7,3286.13,45521.44
Sugarcane,Bihar,Kharif,Clay,Cloudy,20.17,1303.8,35.6,21.3,195.4,4.87,83741.02,1689078.09
Groundnut,Karnataka,Rabi,Loamy,Humid,7.41,268.9,24.2,72.9,140.8,3.4,2217.96,16441.18
Sugarcane,AP,Rabi,Peaty,Sunny,48.94,1060.9,15.5,38.3,423.9,4.34,120255.77,5885587.69
Rice,MP,Zaid,Silty,Sunny,33.99,696.1,34.8,49.5,343.1,0.62,4182.88,142165.15
Jowar,MP,Winter,Chalky,Sunny,32.7,1959.9,42.8,52.9,455.6,4.4,2214.87,72426.87
Groundnut,Punjab,Winter,Loamy,Cloudy,6.45,1452.3,15.2,44.3,214.9,2.04,2371.82,15299.05
Jowar,UP,Kharif,Clay,Sunny,11.75,368.4,33.1,70.1,328.8,2.37,1862.57,21884.89
Maize,Karnataka,Rabi,Chalky,Rainy,45.75,2071.7,18.3,31.2,287.0,1.31,2895.52,132483.49
Groundnut,Maharashtra,Rabi,Peaty,Humid,10.19,217.4,34.4,87.4,159.6,4.64,2228.01,22705.66
Cotton,Haryana,Winter,Chalky,Cloudy,8.73,1619.9,30.7,70.3,468.3,2.71,2351.93,20540.35
Wheat,MP,Kharif,Sandy,Dry,41.25,1401.7,18.7,84.5,409.9,1.0,4828.67,199168.56
Barley,Bihar,Rabi,Clay,Dry,45.93,1176.4,17.6,81.2,218.1,2.68,3414.0,156800.72
Jowar,Gujarat,Kharif,Sandy,Rainy,20.85,2131.7,42.0,46.5,156.6,3.92,2155.39,44931.12
Wheat,AP,Summer,Loamy,Humid,33.54,419.7,33.7,53.9,314.0,0.92,3521.94,118138.99
Groundnut,UP,Kharif,Chalky,Dry,30.55,1457.4,22.0,49.3,317.5,2.53,3301.76,100872.53
Wheat,UP,Winter,Loamy,Rainy,22.41,1225.3,36.7,21.2,203.5,4.11,3063.21,68660.21
Groundnut,Punjab,Summer,Chalky,Dry,29.99,1122.7,26.0,45.8,327.7,2.27,3329.48,99849.94
Wheat,Maharashtra,Winter,Silty,Humid,13.92,1563.5,35.4,37.3,255.6,1.03,3691.2,51388.14
Soybean,AP,Zaid,Clay,Rainy,23.53,338.3,31.9,91.8,128.9,3.48,1794.78,42226.91
Jowar,Punjab,Kharif,Sandy,Humid,15.39,2456.8,29.2,48.7,103.9,4.87,1952.75,30057.15
Sugarcane,Maharashtra,Rabi,Silty,Sunny,41.39,1998.7,36.3,22.7,186.4,1.39,87066.47,3603711.47
Wheat,Rajasthan,Winter,Clay,Rainy,27.91,902.7,26.9,53.5,320.3,2.63,4268.61,119150.74
Soybean,Bihar,Winter,Silty,Humid,25.31,1113.5,31.2,67.1,353.4,2.71,2748.45,69555.34
Soybean,Maharashtra,Summer,Loamy,Sunny,1.63,553.7,21.7,91.8,307.9,4.67,2376.4,3881.24
Rice,MP,Kharif,Silty,Dry,25.38,1116.9,19.4,47.6,80.7,0.23,4155.62,105457.26
Jowar,MP,Winter,Silty,Humid,22.26,443.0,34.2,36.2,328.8,3.29,1541.4,34305.05
Wheat,Gujarat,Zaid,Peaty,Rainy,15.22,1189.8,20.1,25.6,402.2,1.4,4805.17,73130.31
Groundnut,MP,Kharif,Silty,Humid,49.84,2072.1,33.5,43.0,330.8,2.68,2987.31,148876.98
Cotton,AP,Winter,Peaty,Cloudy,26.51,1307.8,20.3,49.0,483.7,1.32,2187.7,58001.32
Sugarcane,AP,Winter,Peaty,Rainy,7.29,1431.2,21.5,20.9,158.5,4.88,80927.9,589715.96
Sugarcane,MP,Winter,Silty,Rainy,43.3,760.0,34.6,80.8,326.3,4.31,95049.14,4115693.4
Bajra,Punjab,Rabi,Chalky,Dry,47.79,2009.9,24.5,71.6,246.9,1.35,2392.84,114351.62
Groundnut,Punjab,Zaid,Sandy,Sunny,3.8,1392.3,19.5,75.3,280.5,3.43,3534.2,13427.42
Barley,UP,Zaid,Clay,Sunny,4.03,227.8,43.7,75.3,209.0,1.55,2513.94,10124.15
Groundnut,Bihar,Summer,Loamy,Cloudy,5.37,1718.7,37.9,39.9,59.4,0.5,1935.08,10392.48
Rice,Haryana,Kharif,Clay,Rainy,1.02,787.5,22.8,25.2,481.9,2.44,4701.53,4777.55
Cotton,Karnataka,Zaid,Silty,Rainy,24.56,2316.7,30.6,66.2,120.5,0.31,2006.82,49283.07
Rice,Gujarat,Kharif,Sandy,Sunny,21.89,1210.6,33.4,90.7,158.3,0.7,3997.53,87497.21
Barley,AP,Zaid,Chalky,Rainy,44.02,794.4,31.3,67.7,149.5,4.89,3082.32,135695.39
Barley,Karnataka,Summer,Peaty,Cloudy,37.78,819.5,31.2,74.6,98.6,3.46,2516.44,95078.17
Soybean,Punjab,Winter,Loamy,Dry,25.66,884.4,32.0,71.7,443.0,3.22,2656.65,68179.86
Sugarcane,Maharashtra,Rabi,Sandy,Sunny,44.13,839.2,20.8,86.0,345.9,1.62,100807.79,4448830.56
Wheat,MP,Winter,Clay,Sunny,26.45,2150.5,40.2,82.5,55.0,3.77,4178.55,110505.54
Sugarcane,UP,Summer,Clay,Cloudy,42.18,1281.7,30.1,29.4,223.4,3.25,81267.44,3427660.22
Bajra,Bihar,Winter,Chalky,Dry,31.17,1017.6,38.8,27.0,314.7,2.46,1915.53,59706.41
Maize,MP,Rabi,Chalky,Humid,3.11,1319.2,33.0,65.2,60.3,1.68,2604.44,8109.69
Barley,Karnataka,Summer,Chalky,Rainy,10.89,2097.8,30.6,48.0,105.1,3.7,3619.6,39407.25
Rice,Rajasthan,Summer,Sandy,Sunny,46.69,1677.9,27.6,67.7,403.5,0.68,5993.25,279819.33
Groundnut,Rajasthan,Rabi,Clay,Dry,28.49,2453.2,20.0,72.5,313.6,2.97,3764.81,107277.29
Soybean,UP,Zaid,Clay,Dry,47.06,796.4,27.9,85.5,428.9,1.01,2464.98,116010.91
Sugarcane,AP,Rabi,Silty,Humid,45.24,2291.6,38.4,20.5,75.8,1.2,82795.83,3745990.4
Jowar,Maharashtra,Kharif,Silty,Humid,3.91,331.2,23.5,39.6,161.1,4.54,1390.29,5440.78
Soybean,Karnataka,Kharif,Sandy,Dry,3.74,1321.4,16.0,24.7,457.9,0.78,2118.7,7914.68
Cotton,AP,Kharif,Sandy,Cloudy,4.78,744.6,37.0,61.1,107.6,4.42,1741.89,8322.77
Barley,Bihar,Kharif,Peaty,Dry,48.99,533.4,36.8,34.3,202.2,1.61,2302.22,112780.8
Sugarcane,Rajasthan,Kharif,Silty,Dry,1.59,1856.0,27.5,26.7,357.7,2.77,119278.17,189740.62
Groundnut,Haryana,Kharif,Peaty,Sunny,4.55,1254.1,29.5,32.4,475.6,4.26,2742.79,12467.08
Wheat,AP,Rabi,Sandy,Cloudy,27.5,343.2,30.4,80.5,256.7,0.35,3081.09,84726.6
Groundnut,MP,Summer,Chalky,Rainy,37.96,1394.6,21.1,85.8,445.8,4.37,4245.39,161151.54
Jowar,Punjab,Summer,Sandy,Rainy,1.84,350.0,28.9,88.2,292.4,2.54,1747.01,3222.86
Jowar,UP,Rabi,Loamy,Cloudy,22.33,649.9,20.6,27.1,210.5,3.81,1446.38,32302.06
Sugarcane,Bihar,Kharif,Chalky,Rainy,22.66,1483.0,20.0,66.0,213.4,4.5,101854.15,2307642.92
Rice,Maharashtra,Summer,Chalky,Cloudy,22.3,1615.2,17.5,86.2,411.6,2.58,5012.55,111759.76
Rice,Haryana,Winter,Chalky,Dry,8.71,2228.4,27.8,32.2,55.7,2.84,5143.98,44828.62
Wheat,Rajasthan,Winter,Sandy,Cloudy,41.04,1443.8,36.3,43.6,262.0,4.13,4337.26,178016.84
Jowar,Bihar,Rabi,Chalky,Cloudy,12.59,459.8,17.6,73.9,239.1,4.54,1559.11,19636.77
Jowar,UP,Kharif,Peaty,Dry,2.04,1900.4,18.2,43.6,51.7,3.44,1761.85,3594.56
Soybean,Punjab,Summer,Clay,Humid,41.93,842.3,34.3,72.1,280.7,1.6,2315.1,97080.51
Cotton,UP,Kharif,Silty,Sunny,3.43,2267.3,34.5,85.6,50.1,0.93,1537.81,5267.23
Wheat,Gujarat,Summer,Peaty,Dry,6.88,1149.4,39.1,55.9,58.1,2.17,3112.13,21405.29
Maize,Rajasthan,Rabi,Loamy,Cloudy,42.05,2458.1,33.6,61.9,332.7,2.71,4357.73,183256.84
Maize,MP,Winter,Silty,Dry,5.28,756.4,15.4,55.2,185.6,3.03,2703.75,14271.61
Jowar,Gujarat,Zaid,Silty,Humid,43.92,959.9,25.2,94.2,331.8,2.7,1880.21,82587.31
Rice,Haryana,Summer,Peaty,Cloudy,28.88,1715.3,22.6,36.5,269.8,3.71,4951.47,143002.48
Maize,Gujarat,Rabi,Clay,Sunny,26.11,1190.0,24.5,52.6,398.2,3.05,4355.27,113731.88
Bajra,UP,Winter,Silty,Dry,22.54,2014.2,34.2,70.7,109.3,1.25,1744.91,39329.67
Groundnut,Haryana,Kharif,Clay,Sunny,18.41,1286.7,16.4,30.5,174.6,4.86,2448.38,45078.82
Rice,MP,Zaid,Loamy,Dry,10.75,1388.1,15.2,20.6,148.6,0.28,3257.17,35001.95
Sugarcane,Karnataka,Kharif,Chalky,Rainy,46.62,1113.1,17.6,66.3,101.2,1.79,68178.72,3178615.24
Groundnut,UP,Winter,Clay,Cloudy,22.8,2337.7,20.0,49.2,378.4,4.42,3607.74,82272.88
Rice,Bihar,Rabi,Chalky,Humid,36.21,2184.6,15.1,73.8,423.3,0.3,5904.92,213811.18
Cotton,MP,Rabi,Sandy,Rainy,19.5,1249.3,26.1,29.1,238.5,3.78,2108.33,41112.52
Jowar,Bihar,Rabi,Sandy,Cloudy,25.36,519.4,18.5,31.6,127.3,3.23,1327.48,33660.36
Sugarcane,Gujarat,Winter,Sandy,Cloudy,41.09,1798.2,31.0,53.7,88.0,2.06,80839.11,3321729.58
Barley,Karnataka,Summer,Clay,Dry,42.67,1129.0,17.3,60.7,437.8,2.99,3294.2,140550.82
Wheat,Rajasthan,Zaid,Loamy,Humid,21.83,933.4,32.5,47.8,320.5,3.56,3761.37,82124.83
Barley,Maharashtra,Winter,Silty,Humid,44.56,995.5,19.6,21.9,340.6,3.22,3830.06,170666.69
Rice,MP,Winter,Clay,Rainy,29.22,1487.3,18.2,32.6,487.4,1.22,5093.08,148824.63
Cotton,Bihar,Zaid,Sandy,Cloudy,20.07,920.4,19.4,56.6,108.5,4.19,1775.02,35631.82
Sugarcane,UP,Summer,Sandy,Dry,44.48,1586.8,39.8,93.8,179.8,4.81,81131.52,3608404.01
Soybean,Rajasthan,Winter,Silty,Dry,27.91,1445.9,37.9,82.5,248.2,1.58,1903.22,53116.46
Maize,Maharashtra,Kharif,Sandy,Dry,48.34,1482.7,25.4,63.5,112.6,2.28,3418.09,165222.36
Maize,Haryana,Kharif,Chalky,Cloudy,31.36,1509.6,33.6,35.1,227.8,0.29,3823.66,119904.71
Rice,Maharashtra,Summer,Chalky,Cloudy,30.16,1013.0,28.8,22.8,385.6,2.79,4752.33,143313.38
Jowar,Karnataka,Rabi,Peaty,Humid,7.87,1264.2,44.4,56.3,438.6,2.98,1775.37,13964.03
Bajra,Gujarat,Zaid,Silty,Sunny,22.34,1593.2,42.6,47.2,376.6,4.48,1779.81,39762.05
Cotton,Gujarat,Zaid,Chalky,Sunny,42.77,1210.0,40.4,87.0,78.1,4.43,1385.27,59249.62
Sugarcane,Karnataka,Winter,Chalky,Rainy,34.54,1862.2,35.8,30.1,184.7,1.86,77069.14,2662140.65
Barley,UP,Kharif,Peaty,Cloudy,10.43,2487.7,17.7,20.2,69.9,1.77,3297.6,34401.27
Sugarcane,Gujarat,Winter,Clay,Dry,46.89,2090.4,39.3,86.3,365.0,0.61,117012.19,5486234.13
Cotton,Gujarat,Zaid,Peaty,Cloudy,5.99,2058.9,43.4,25.4,479.8,2.66,2041.51,12237.64
Wheat,Karnataka,Rabi,Clay,Rainy,2.99,367.7,27.1,42.1,154.6,1.48,3291.35,9828.6
Groundnut,Rajasthan,Kharif,Chalky,Sunny,11.35,277.4,21.4,51.2,391.8,1.02,2437.56,27676.18
Groundnut,MP,Rabi,Peaty,Rainy,31.43,365.1,35.5,38.1,371.3,4.13,2647.96,83217.05
Cotton,AP,Zaid,Chalky,Rainy,8.35,2228.6,39.7,74.1,172.2,2.07,2211.47,18469.96
Jowar,Bihar,Rabi,Clay,Dry,35.89,1565.0,41.9,63.7,260.1,1.77,1696.69,60901.67
Wheat,Haryana,Summer,Silty,Humid,44.65,1197.8,42.3,48.3,483.8,0.54,3489.22,155785.71
Bajra,Rajasthan,Winter,Sandy,Sunny,35.34,210.0,20.0,73.5,349.9,4.83,1870.64,66110.27
